127.0.0.1, 2018-10-22 15:10:54, GET, /admin/static/_2.17.2/images/questions.png, HTTP/1.1, 200, 0.001619
127.0.0.1, 2018-10-22 15:10:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000152
127.0.0.1, 2018-10-22 15:10:56, POST, /admin/default/index, HTTP/1.1, 303, 0.013250
127.0.0.1, 2018-10-22 15:10:56, GET, /admin/default/site, HTTP/1.1, 200, 0.029856
127.0.0.1, 2018-10-22 15:10:56, GET, /admin/static/_2.17.2/images/folder_locked.png, HTTP/1.1, 200, 0.001233
127.0.0.1, 2018-10-22 15:10:56, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.000781
127.0.0.1, 2018-10-22 15:10:56, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000627
127.0.0.1, 2018-10-22 15:10:56, POST, /admin/default/check_version, HTTP/1.1, 200, 0.557047
127.0.0.1, 2018-10-22 15:11:04, POST, /admin/default/site, HTTP/1.1, 303, 0.073585
127.0.0.1, 2018-10-22 15:11:04, GET, /admin/default/design/lifeTracker, HTTP/1.1, 200, 0.088536
127.0.0.1, 2018-10-22 15:11:04, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.002574
127.0.0.1, 2018-10-22 15:11:04, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.000805
127.0.0.1, 2018-10-22 15:11:04, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.001504
127.0.0.1, 2018-10-22 15:11:04, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.000821
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker, HTTP/1.1, 200, 0.044824
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001563
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000793
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.003699
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/jquery.js, HTTP/1.1, 200, 0.004088
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/css/calendar.css, HTTP/1.1, 200, 0.003100
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/calendar.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/web2py.js, HTTP/1.1, 200, 0.002470
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.002114
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001969
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/images/background.jpg, HTTP/1.1, 404, 0.000257
127.0.0.1, 2018-10-22 15:11:14, GET, /lifeTracker/static/images/favicon.ico, HTTP/1.1, 200, 0.000380
127.0.0.1, 2018-10-22 15:12:12, GET, /lifeTracker, HTTP/1.1, 200, 0.016389
127.0.0.1, 2018-10-22 15:12:12, GET, /lifeTracker/static/images/background.jpg, HTTP/1.1, 404, 0.000232
127.0.0.1, 2018-10-22 15:12:24, GET, /lifeTracker, HTTP/1.1, 200, 0.015579
127.0.0.1, 2018-10-22 15:12:24, GET, /lifeTracker/static/images/background.jpg, HTTP/1.1, 404, 0.000235
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/default/edit/lifeTracker/models/db.py, HTTP/1.1, 200, 0.029219
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001568
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.000728
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001608
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001082
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002592
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000529
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001593
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003560
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002883
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001607
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001155
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002564
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000783
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.000705
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003033
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.000715
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002581
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001700
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002430
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002515
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.001013
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001934
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002544
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001741
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001496
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001207
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002190
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000686
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.002401
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002281
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/js/ajax_editor.js, HTTP/1.1, 200, 0.000969
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/css/web2py-codemirror.css, HTTP/1.1, 200, 0.001079
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.001031
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000842
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/js/typeahead.min.js, HTTP/1.1, 200, 0.001926
127.0.0.1, 2018-10-22 15:12:39, GET, /admin/static/_2.17.2/images/files_toggle.png, HTTP/1.1, 200, 0.000443
